            | Teste 01 | Teste 02 | Teste 03 | Teste 04 | Teste 05 | Teste 06 | Teste 07 | Teste 08 | Teste 09 | Teste 10 |  Média   | Melhor
01ª geração | -12.4162 | -13.0955 | -16.8608 | -9.9573  | -7.3941  | -16.8012 | -14.1882 | -12.6006 | -12.2125 | -11.4993 | -12.7026 | -16.8608 
02ª geração | -12.4162 | -12.7182 | -16.6447 | -9.7611  | -11.1919 | -16.8012 | -14.1882 | -12.6077 | -12.2125 | -11.4993 | -13.0041 | -16.8012 
03ª geração | -12.4162 | -12.7034 | -16.6447 | -11.3039 | -7.5045  | -16.8012 | -14.1882 | -12.6006 | -13.4372 | -11.4848 | -12.9085 | -16.8012 
04ª geração | -12.4162 | -12.7108 | -16.6447 | -9.7611  | -7.3941  | -16.8012 | -14.1882 | -12.6006 | -13.2995 | -11.4848 | -12.7301 | -16.8012 
05ª geração | -12.9268 | -16.6246 | -16.6518 | -9.9637  | -7.3941  | -16.8012 | -14.1882 | -12.6147 | -12.2569 | -12.3564 | -13.1778 | -16.8012 
06ª geração | -12.4162 | -14.6686 | -16.6447 | -10.5608 | -7.3941  | -16.8012 | -14.1882 | -12.6006 | -12.2125 | -13.3496 | -13.0837 | -16.8012 
07ª geração | -12.428  | -13.9092 | -16.6447 | -9.7611  | -7.3941  | -16.8012 | -14.1882 | -12.6006 | -12.2125 | -11.4848 | -12.7424 | -16.8012 
08ª geração | -12.9268 | -13.8136 | -16.6447 | -10.0153 | -7.3941  | -16.8012 | -14.3846 | -12.6006 | -12.2125 | -11.4848 | -12.8278 | -16.8012 
09ª geração | -13.4594 | -12.7034 | -16.6447 | -10.293  | -9.2784  | -16.8012 | -14.1882 | -12.6006 | -12.2125 | -11.4848 | -12.9666 | -16.8012 
10ª geração | -12.4201 | -13.0386 | -16.6447 | -13.6335 | -7.3941  | -16.8012 | -14.1882 | -12.6006 | -12.3125 | -11.4848 | -13.0518 | -16.8012 
